claim id,evidence id,count,majority,label
cb158x-5,cb158x-5-10,2,,"[3, 0]"
cb158x-5,cb158x-5-5,2,,"[3, 0]"
37fpzj-9,37fpzj-9-0,2,,"[3, 0]"
av6h5r-11,av6h5r-11-3,2,,"[0, 3]"
6vjw21-5,6vjw21-5-6,2,,"[0, 3]"
32cnkw-7,32cnkw-7-3,2,,"[0, 3]"
9o8t62-37,9o8t62-37-6,2,,"[3, 0]"
ciu5i7-11,ciu5i7-11-3,2,,"[3, 0]"
cfnpva-3,cfnpva-3-8,2,,"[0, 3]"
9obcw6-8,9obcw6-8-1,2,,"[0, 3]"
3rhzde-20,3rhzde-20-6,2,,"[3, 0]"
9obcw6-12,9obcw6-12-1,2,,"[3, 0]"
32cnkw-79,32cnkw-79-7,2,,"[3, 0]"
3s70oc-10,3s70oc-10-3,2,,"[3, 0]"
9oz9jx-11,9oz9jx-11-10,2,,"[3, 0]"
3j5b7g-4,3j5b7g-4-2,2,,"[3, 0]"
8kbg1x-32,8kbg1x-32-2,2,,"[3, 0]"
6u54kg-24,6u54kg-24-2,2,,"[3, 0]"
8kbg1x-28,8kbg1x-28-2,2,,"[3, 0]"
7hnnlt-2,7hnnlt-2-0,2,,"[0, 3]"
32cnkw-125,32cnkw-125-1,2,,"[0, 3]"
3ycmwr-1,3ycmwr-1-6,2,,"[3, 0]"
3iynfo-1,3iynfo-1-5,2,,"[0, 3]"
8aog9s-13,8aog9s-13-0,2,,"[0, 3]"
8aog9s-13,8aog9s-13-1,2,,"[0, 3]"
32cnkw-1,32cnkw-1-2,2,,"[0, 3]"
6vjw21-7,6vjw21-7-0,2,,"[3, 0]"
bmklgm-3,bmklgm-3-10,2,,"[0, 3]"
30c0k1-17,30c0k1-17-3,2,,"[0, 3]"
6huwr1-0,6huwr1-0-6,2,,"[0, 3]"
9oz9jx-4,9oz9jx-4-5,2,,"[0, 3]"
9o8t62-20,9o8t62-20-5,2,,"[0, 3]"
6gvks4-4,6gvks4-4-4,2,,"[0, 3]"
6gvks4-4,6gvks4-4-9,2,,"[0, 3]"
6vjw21-9,6vjw21-9-6,2,,"[0, 3]"
6gvks4-15,6gvks4-15-1,2,,"[3, 0]"
3ycmwr-3,3ycmwr-3-2,2,,"[0, 3]"
6tpss6-19,6tpss6-19-2,2,,"[3, 0]"
32cnkw-106,32cnkw-106-3,2,,"[3, 0]"
6tpss6-25,6tpss6-25-8,2,,"[0, 3]"
b2z85i-6,b2z85i-6-9,2,,"[3, 0]"
32cnkw-71,32cnkw-71-4,2,,"[3, 0]"
av6h5r-6,av6h5r-6-6,2,,"[3, 0]"
32cnkw-128,32cnkw-128-0,2,,"[0, 3]"
9gzwdq-4,9gzwdq-4-1,2,,"[3, 0]"
9gzwdq-4,9gzwdq-4-2,2,,"[3, 0]"
a5kksk-2,a5kksk-2-1,2,,"[3, 0]"
32cnkw-147,32cnkw-147-4,2,,"[0, 3]"
32cnkw-147,32cnkw-147-6,2,,"[0, 3]"
37fpzj-5,37fpzj-5-2,2,,"[3, 0]"
9ydvwk-7,9ydvwk-7-1,2,,"[3, 0]"
6u54kg-25,6u54kg-25-4,2,,"[0, 3]"
3j5b7g-13,3j5b7g-13-7,2,,"[3, 0]"
67lyzt-17,67lyzt-17-1,2,,"[0, 3]"
6vjw21-0,6vjw21-0-0,2,,"[3, 0]"
6vjw21-0,6vjw21-0-4,2,,"[0, 3]"
6kbryl-4,6kbryl-4-1,2,,"[0, 3]"
67lyzt-31,67lyzt-31-8,2,,"[3, 0]"
3j5b7g-0,3j5b7g-0-3,2,,"[0, 3]"
6tpss6-31,6tpss6-31-5,2,,"[0, 3]"
bp5j5r-11,bp5j5r-11-4,2,,"[0, 3]"
8kbg1x-22,8kbg1x-22-0,2,,"[0, 3]"
9u12ze-1,9u12ze-1-4,2,,"[0, 3]"
3s70oc-0,3s70oc-0-3,2,,"[0, 3]"
37fpzj-3,37fpzj-3-0,2,,"[0, 3]"
37fpzj-3,37fpzj-3-5,2,,"[0, 3]"
37fpzj-3,37fpzj-3-6,2,,"[0, 3]"
37fpzj-3,37fpzj-3-7,2,,"[0, 3]"
8sxf94-12,8sxf94-12-5,2,,"[3, 0]"
8kbg1x-27,8kbg1x-27-6,2,,"[3, 0]"
67lyzt-0,67lyzt-0-6,2,,"[0, 3]"
3cm19f-10,3cm19f-10-0,2,,"[0, 3]"
cnk7fp-22,cnk7fp-22-4,2,,"[3, 0]"
674rmd-1,674rmd-1-2,2,,"[0, 3]"
3s70oc-8,3s70oc-8-7,2,,"[3, 0]"
cnk7fp-34,cnk7fp-34-0,2,,"[3, 0]"
cnk7fp-34,cnk7fp-34-4,2,,"[3, 0]"
cnk7fp-24,cnk7fp-24-3,2,,"[0, 3]"
32cnkw-19,32cnkw-19-6,2,,"[0, 3]"
32cnkw-19,32cnkw-19-9,2,,"[0, 3]"
7emp75-4,7emp75-4-0,2,,"[3, 0]"
7emp75-4,7emp75-4-2,2,,"[3, 0]"
8kbg1x-15,8kbg1x-15-0,2,,"[3, 0]"
a5ze7t-0,a5ze7t-0-3,2,,"[0, 3]"
5rfy4a-9,5rfy4a-9-3,2,,"[3, 0]"
8kbg1x-7,8kbg1x-7-7,2,,"[0, 3]"
8kbg1x-35,8kbg1x-35-8,2,,"[3, 0]"
9ozr8i-5,9ozr8i-5-6,2,,"[0, 3]"
9o8t62-21,9o8t62-21-4,2,,"[3, 0]"
cb158x-4,cb158x-4-2,2,,"[3, 0]"
cb158x-4,cb158x-4-5,2,,"[3, 0]"
cb158x-4,cb158x-4-6,2,,"[3, 0]"
9obcw6-7,9obcw6-7-2,2,,"[3, 0]"
